[Unique Word Count: 172358]
[Total Word Count: 227634340]
  12151214	the
   6237577	i
   6228001	and
   5899613	a
   5705796	to
   4799783	it
   4640053	of
   4121317	this
   4119107	is
   2777326	in
   2507716	for
   2395135	that
   2069662	was
   1948805	but
   1817827	you
   1799000	not
   1705187	with
   1675829	on
   1529156	have
   1519868	book
   1433527	my
   1360689	as
   1334826	are
   1085570	be
   1069252	one
    951115	if
    944009	so
    901798	all
    881772	like
    826384	they
    822773	very
    819838	good
    783371	just
    771319	at
    751657	from
    727351	or
    726548	would
    682264	out
    682255	about
    662360	an
    652702	more
    650566	great
    632764	me
    630198	has
    605411	it's
    602666	had
    584837	when
    571782	what
    570500	will
    568442	there
    568307	up
    559355	get
    550482	by
    542414	some
    534329	read
    528294	only
    513496	time
    505989	no
    503620	can
    502658	his
    497365	he
    496586	really
    462195	well
    456245	movie
    455833	your
    449703	much
    445377	than
    440968	other
    439362	do
    429087	them
    428062	don't
    414622	first
    413260	her
    407024	who
    401343	because
    392935	these
    391142	were
    391103	we
    383718	even
    382440	too
    378387	after
    373223	which
    349093	been
    346521	better
    336965	how
    336369	also
    332831	use
    328465	she
    322718	their
    320879	love
    313701	little
    308758	did
    307642	am
    305672	story
    304432	any
    302525	then
    300666	could
    297418	cd
    296759	buy
    294958	work
    293682	bought
    293224	product
    292565	think
    287693	album
    287398	way
    285505	i'm
    284371	does
    277597	into
    276867	many
    276488	new
    269567	still
    269237	over
    265345	most
    264502	its
    263412	now
    261574	best
    259207	back
    257193	two
    256706	make
    254153	off
    250548	know
    244328	got
    238473	see
    233395	music
    229979	find
    229134	want
    227984	made
    226186	should
    222899	never
    221422	books
    219790	old
    219680	people
    217809	didn't
    217378	however
    213556	found
    209680	used
    209285	bad
    205790	while
    204738	recommend
    204260	years
    201143	go
    201124	songs
    201090	i've
    199812	same
    196037	reading
    195830	through
    195684	few
    195475	say
    193143	money
    190632	game
    190337	quality
    185918	another
    185708	before
    184340	thought
    182772	again
    182655	lot
    181624	something
    180142	dvd
    179263	put
    176290	thing
    175046	doesn't
    174244	down
    173394	life
    169173	though
    168782	film
    168767	can't
    167398	long
    165937	ever
    165745	sound
    162851	every
    162720	characters
    162370	hard
    161891	worth
    161007	easy
    160890	looking
    159137	being
    159119	price
    158825	those
    156516	going
    156479	give
    155381	enough
    154594	since
    153089	need
    151741	our
    150375	why
    148783	nice
    147861	here
    147472	bit
    147408	where
    146624	year
    146360	works
    145915	right
    145443	look
    145168	times
    144779	set
    144607	end
    143682	pretty
    140954	different
    138849	last
    138528	s
    137724	take
    137228	series
    136157	makes
    135071	nothing
    134943	day
    134915	real
    133770	without
    133697	such
    133336	interesting
    133104	amazon
    132461	own
    130792	fan
    129771	around
    129623	author
    129468	sure
    129215	him
    128004	may
    127862	feel
    127713	far
    127669	disappointed
    127632	must
    127607	song
    126155	problem
    126144	big
    125162	written
    123725	seems
    122622	both
    122537	things
    122138	fun
    121744	watch
    121362	anyone
    119665	purchased
    119629	using
    119477	come
    119341	keep
    117887	actually
    117667	stars
    116681	play
    116594	part
    116036	quite
    115503	small
    114713	version
    113072	always
    111963	us
    111560	reviews
    110853	each
    107387	try
    106124	away
    106012	anything
    103852	almost
    103322	excellent
    102881	said
    102317	original
    102283	show
    102217	came
    100292	probably
    100143	plot
     99844	world
     99298	once
     98706	fine
     98678	enjoy
     98060	less
     97453	isn't
     97221	you're
     97104	maybe
     97022	might
     96834	getting
     95756	high
     95555	having
     95362	done
     94737	next
     94610	tried
     94578	instead
     94568	three
     94102	help
     93732	yet
     93576	although
     93014	information
     92354	that's
     92102	writing
     91913	second
     91684	whole
     91524	loved
     91100	video
     90205	overall
     90151	several
     89981	wanted
     89873	months
     87645	character
     87355	item
     87334	trying
     86598	least
     86319	waste
     86146	others
     85846	everything
     85831	wasn't
     85575	enjoyed
     85323	short
     85305	seen
     84893	light
     84877	liked
     83651	days
     83464	live
     83407	together
     83272	purchase
     82950	review
     82519	able
     82476	fact
     82120	especially
     82077	job
     81916	band
     81483	fit
     81383	someone
     81195	definitely
     81128	point
     81045	ok
     80880	until
     80857	full
     80516	movies
     80139	buying
     79928	case
     79732	top
     79627	heard
     79613	novel
     79457	believe
     79447	rather
     79100	box
     78421	man
     78290	kind
     78258	between
     78207	already
     77680	took
     77662	wish
     77656	cover
     77390	star
     77006	place
     76636	half
     76528	style
     76380	i'd
     76211	won't
     76204	gets
     76124	true
     76038	looks
     75991	wonderful
     75519	received
     75221	highly
     75050	wrong
     75037	left
     74858	worked
     74513	listen
     74337	pages
     74323	perfect
     74276	ago
     74169	understand
     73895	gave
     73885	else
     73798	size
     73766	order
     73715	started
     73705	ordered
     73627	comes
     73595	side
     73502	favorite
     72911	line
     72699	went
     72531	boring
     72452	stuff
     72302	home
     71718	couldn't
     71374	happy
     71189	seem
     71175	reason
     70967	family
     70895	kids
     70562	either
     70331	minutes
     70277	water
     69966	let
     69397	couple
     69305	funny
     69169	problems
     68362	start
     68352	history
     68349	etc
     68198	unit
     68126	collection
     68063	saw
     68017	myself
     67231	making
     67159	picture
     66735	poor
     65896	hope
     65788	stories
     65232	tell
     64386	son
     64374	voice
     64144	hear
     62991	working
     62750	takes
     62745	sounds
     62721	felt
     61408	plastic
     61319	return
     61298	guess
     60988	difficult
     60857	idea
     60815	cheap
     60637	expected
     60519	rock
     59974	piece
     59908	black
     59889	along
     59478	page
     59318	beautiful
     59318	you'll
     59057	mind
     59019	rest
     58899	tv
     58716	easily
     58705	wouldn't
     58669	tracks
     58611	person
     58511	simply
     58446	fast
     57951	unfortunately
     57902	watching
     57899	goes
     57841	itself
     57688	playing
     57604	main
     57526	i'll
     57200	hold
     57132	action
     57036	track
     56970	everyone
     56901	daughter
     56794	reader
     56558	camera
     56551	completely
     56485	needed
     56484	power
     56068	fans
     55979	there's
     55891	under
     55714	children
     55662	parts
     55515	young
     55380	material
     55273	player
     55246	worst
     54708	ones
     54647	simple
     54567	course
     54548	learn
     54410	shows
     54358	amazing
     54341	seemed
     53988	phone
     53958	turn
     53914	battery
     53893	lost
     53756	ending
     53633	finally
     53433	during
     53408	given
     53184	past
     53088	doing
     52871	expect
     52765	save
     52668	night
     52525	needs
     52353	low
     52250	house
     52164	experience
     51985	cannot
     51898	hours
     51755	often
     51645	type
     51612	christmas
     51480	gift
     51384	title
     51308	classic
     51173	friends
     51169	words
     50825	hand
     50820	school
     50435	later
     50386	sometimes
     50367	thinking
     50000	longer
     49652	gives
     49644	played
     49644	store
     49588	copy
     49563	wait
     49063	cool
     49045	child
     48919	pictures
     48730	called
     48559	computer
     48529	says
     48456	head
     48428	care
     48422	system
     48379	clear
     48373	based
     48237	loves
     48236	please
     48023	quickly
     48012	disc
     47923	large
     47852	yes
     47674	toy
     47535	color
     47483	weeks
     47462	free
     47433	slow
     47379	name
     47314	cut
     47250	sense
     47164	write
     47029	scenes
     46817	mr
     46800	baby
     46748	change
     46650	extremely
     46366	week
     46332	truly
     46306	company
     46169	release
     46155	car
     46149	complete
     45979	close
     45950	run
     45887	month
     45736	albums
     45590	acting
     45557	pay
     45541	special
     45479	kept
     45466	haven't
     45431	absolutely
     45200	deal
     44954	interested
     44401	white
     44311	friend
     44199	yourself
     44142	four
     44084	stay
     44054	single
     44011	entire
     43991	open
     43767	b
     43748	level
     43735	support
     43693	perhaps
     43655	heavy
     43609	recommended
     43577	american
     43529	clean
     43509	girl
     43481	hair
     43473	previous
     43397	guy
     43377	listening
     43376	dont
     43341	unless
     43235	design
     43233	within
     43226	service
     43172	told
     43136	room
     43020	screen
     42816	lots
     42749	games
     42464	follow
     42449	decent
     42438	season
     42388	opinion
     42386	metal
     42253	available
     42201	inside
     42200	coffee
     42152	strong
     42139	certainly
     42087	hot
     42011	huge
     41986	looked
     41935	machine
     41805	decided
     41668	terrible
     41464	stop
     41338	early
     41303	check
     41287	useful
     41219	e
     40996	today
     40979	self
     40868	plus
     40790	d
     40627	totally
     40479	number
     40254	matter
     40232	otherwise
     40107	add
     39950	war
     39844	shipping
     39770	awesome
     39726	forward
     39704	arrived
     39537	remember
     39349	exactly
     39293	entertaining
     39215	beginning
     39132	pop
     39006	finish
     38879	five
     38827	god
     38796	th
     38794	mean
     38718	brand
     38668	non
     38628	extra
     38619	horrible
     38451	stand
     38423	text
     38362	husband
     38351	lyrics
